codeinsee;localisation;typepav;domaine;entourage;naturesol;datemaj;flux;longitude;latitude
35238;Rue des Ormeaux (angle rue Jean Boucher);Enterré;Public;Sans;Métal;;VE;-1.66910588964343;48.0983851469335
35238;face au 31 rue d Oberthur;Aérien;Public;;;;VE;-1.66234360927115;48.1119865771421
35278;RUE DE L ODET  / RUE DES CELTES;Aérien;Public;;;20080424;VE;-1.6923843082849;48.1496859921597
35238;Rue Nadaud de Buffon (côté Promenade des Bonnets Rouges);Aérien;Public;;;;VE;-1.65663396339925;48.1070850569334
35204;RUE DU CHENE CENTENAIRE;Aérien;Public;Sans;;20080401;VE;-1.5417172946119;48.0400160835458
35206;PARC DES LOISIRS  RUE DU MOULIN;Aérien;Public;;;20080401;VE;-1.65949684977162;48.0416324650547
35238;Allée de Genève (angle allée du Gacet);Aérien;Public;Haie;Terre;;OM-MM-VE;-1.66210949473538;48.0855594452221
35051;BD DE DEZERSEUL  FACE AU STADE;Enterré;Public;;;20080314;MM-VE;-1.59727806430108;48.119461280019
35047;LYCEE SAINT JOSEPH  RUE DE LA CHATAIGNERAIE;Aérien;Public;;;;VE;-1.74263260934809;48.027650195032
35353;RUE DES CAPUCINES;Aérien;Public;;;20080425;VE;-1.75098337170408;48.1167972611496
35281;RUE FREDERIC BENOIT  COTEAUX DE LA MALTIERE;Aérien;Public;;;20080425;VE;-1.70965835869254;48.0867107456074
35238;Boulevard Villebois Mareuil (face rue Marcel Planiol);Aérien;Public;;;20080108;VE;-1.64940736924133;48.1022646929719
35238;Rue Ferdinand de Lesseps;Aérien;Public;;;20080226;VE;-1.70759269227605;48.1026770353236
35352;VAUGON   ( route de Chateaubriand)  PROXIMITE RESTAURANT ROUTIER;Aérien;Public;;;;VE;-1.59951594222691;48.0316485010639
35238;22  allée de Maurepas;Enterré;Public;Haie;Gravier;;OM-MM;-1.66071758209597;48.1272131998028
35208;CIMETIERE  ROUTE DE BOURGBARRE;Aérien;Public;;;20080401;VE;-1.66525914634284;47.9948595874681
35196;Angle mail Commandant Jacques-Yves Cousteau;;;;;20090611;VE;-1.85874542444332;48.0742052624998
35238;7  place de Torigné;Aérien;Public;Haie;Béton;;OM-MM;-1.65628223382619;48.0850918252643
35055;MAIL DU CHENE ROUX  - CENTRE;Enterré;Public;;;;OM-MM;-1.61030627949244;48.0825074041368
35204;EPRON route de Chateaugiron;Aérien;Public;Sans;Enrobé;20080401;VE;-1.53966592241822;48.0167098733804
35238;Avenue de la Bataille Flandre-Dunkerque (face au CROUS);Aérien;Public;Sans;;20080226;VE;-1.70124852758676;48.1214098431666
35238;Boulevard Louis Volclair (angle rue de Châtillon);Aérien;Public;;;20080107;VE;-1.67202794898132;48.0885354071235
35032;VILLAGE LE FRETAIS;Aérien;Public;;;20090907;VE;-1.62349255936051;47.9901120456223
35238;Boulevard Oscar Leroux (angle rue André Gide);Aérien;Public;Haie;Enrobé;;OM-VE;-1.65955649940022;48.0915800405469
35088;RUE DES LOISIRS (parking salle des sports);Aérien;Public;Sans;Terre;20100203;VE;-1.58240077729719;47.9822551954495
35238;20  parc des Balkans;Aérien;Public;Haie;Gravier;;MM;-1.65539898392581;48.0851399182738
35334;TERRAIN DES SPORTS LES LONGRAIS;Aérien;Public;;;20080425;VE;-1.58304227088209;48.1527945416021
35238;9  avenue des Gayeulles;Aérien;Privé;Sans;Enrobé;;MM;-1.65244649951882;48.1286292217894
35238;Square du Général Garnier Du Plessix;Aérien;Privé;Sans;Enrobé;;OM-MM;-1.68280176683245;48.0955573522687
35079;Rue du Chene Noblet angle Rue D  ABBA;Aérien;Public;;;20080328;VE;-1.6255946667744;48.2128396708825
35238;Boulevard Albert 1er (8  allée du Luxembourg);Aérien;Public;Béton - Grillage - Haie;Gravier;;OM-MM-VE;-1.68455596473574;48.0894915632836
35238;Rue du Houx (angle rue Franz Heller);Aérien;Public;;;20080107;VE;-1.66373896011307;48.1307190651925
35024;AVENUE MORETHONHEAMTEAD  COMPLEXE SPORTIF;Aérien;Public;;;20080303;VE;-1.64785909678855;48.1791083534136
35238;Allée d Uppsalla;Aérien;Public;Grillage souple;Enrobé;;OM-MM-VE;-1.67624227747337;48.0874444592436
35039;La Chiennerie;Aérien;Public;Sans;Gravier;20080314;VE;-1.47712576046953;48.0996251663672
35238;44  rue Jean Guehenno;Aérien;Public;;;;VE;-1.67140657378008;48.1181778754197
35238;Rue Saint Hélier (angle rue Duhamel);Enterré;Public;Sans;Résine;20080826;VE;-1.67205012165732;48.1075281910279
35001;CENTRE NAUTIQUE  RUE DU FORT DE LA MOTTE;Aérien;Public;;;20080229;VE;-1.52572464806768;48.1323994578602
35238;Cours d Arnhem (angle chemin de Torigné);Aérien;Public;Haie;Terre;;OM-MM;-1.65782224309495;48.0855525690784
35238;Place Sainte-Anne (côté rue Pont aux Foulons);Enterré;Public;Sans;Résine;;OM-MM;-1.68026953007078;48.1142817105565
